WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
02;;;;DOLNOŚLĄSKIE;województwo;2019-01-01
02;01;;;bolesławiecki;powiat;2019-01-01
02;01;01;1;Bolesławiec;gmina miejska;2019-01-01
02;01;02;2;Bolesławiec;gmina wiejska;2019-01-01
02;01;03;2;Gromadka;gmina wiejska;2019-01-01
02;01;04;4;Nowogrodziec;miasto;2019-01-01
02;01;04;5;Nowogrodziec;obszar wiejski;2019-01-01
02;01;05;2;Osiecznica;gmina wiejska;2019-01-01
02;01;06;2;Warta Bolesławiecka;gmina wiejska;2019-01-01
02;02;;;dzierżoniowski;powiat;2019-01-01
02;02;01;1;Bielawa;gmina miejska;2019-01-01
02;02;02;1;Dzierżoniów;gmina miejska;2019-01-01
02;02;03;4;Pieszyce;miasto;2019-01-01
02;02;03;5;Pieszyce;obszar wiejski;2019-01-01
02;02;04;1;Piława Górna;gmina miejska;2019-01-01
02;02;05;2;Dzierżoniów;gmina wiejska;2019-01-01
02;02;06;2;Łagiewniki;gmina wiejska;2019-01-01
02;02;07;4;Niemcza;miasto;2019-01-01
02;02;07;5;Niemcza;obszar wiejski;2019-01-01
02;03;;;głogowski;powiat;2019-01-01
02;03;01;1;Głogów;gmina miejska;2019-01-01
02;03;02;2;Głogów;gmina wiejska;2019-01-01
02;03;03;2;Jerzmanowa;gmina wiejska;2019-01-01
02;03;04;2;Kotla;gmina wiejska;2019-01-01
02;03;05;2;Pęcław;gmina wiejska;2019-01-01
02;03;06;2;Żukowice;gmina wiejska;2019-01-01
02;04;;;górowski;powiat;2019-01-01
02;04;01;4;Góra;miasto;2019-01-01
02;04;01;5;Góra;obszar wiejski;2019-01-01
02;04;02;2;Jemielno;gmina wiejska;2019-01-01
02;04;03;2;Niechlów;gmina wiejska;2019-01-01
02;04;04;4;Wąsosz;miasto;2019-01-01
02;04;04;5;Wąsosz;obszar wiejski;2019-01-01
02;05;;;jaworski;powiat;2019-01-01
02;05;01;1;Jawor;gmina miejska;2019-01-01
02;05;02;4;Bolków;miasto;2019-01-01
02;05;02;5;Bolków;obszar wiejski;2019-01-01
02;05;03;2;Męcinka;gmina wiejska;2019-01-01
02;05;04;2;Mściwojów;gmina wiejska;2019-01-01
02;05;05;2;Paszowice;gmina wiejska;2019-01-01
02;05;06;2;Wądroże Wielkie;gmina wiejska;2019-01-01
02;06;;;jeleniogórski;powiat;2019-01-01
02;06;01;1;Karpacz;gmina miejska;2019-01-01
02;06;02;1;Kowary;gmina miejska;2019-01-01
02;06;03;1;Piechowice;gmina miejska;2019-01-01
02;06;04;1;Szklarska Poręba;gmina miejska;2019-01-01
02;06;05;2;Janowice Wielkie;gmina wiejska;2019-01-01
02;06;06;2;Jeżów Sudecki;gmina wiejska;2019-01-01
02;06;07;2;Mysłakowice;gmina wiejska;2019-01-01
02;06;08;2;Podgórzyn;gmina wiejska;2019-01-01
02;06;09;2;Stara Kamienica;gmina wiejska;2019-01-01
04;;;;KUJAWSKO-POMORSKIE;województwo;2019-01-01
04;01;;;aleksandrowski;powiat;2019-01-01
04;01;01;1;Aleksandrów Kujawski;gmina miejska;2019-01-01
04;01;02;1;Ciechocinek;gmina miejska;2019-01-01
04;01;03;1;Nieszawa;gmina miejska;2019-01-01
04;01;04;2;Aleksandrów Kujawski;gmina wiejska;2019-01-01
04;01;05;2;Bądkowo;gmina wiejska;2019-01-01
04;01;06;2;Koneck;gmina wiejska;2019-01-01
04;01;07;2;Raciążek;gmina wiejska;2019-01-01
04;01;08;2;Waganiec;gmina wiejska;2019-01-01
04;01;09;2;Zakrzewo;gmina wiejska;2019-01-01
04;02;;;brodnicki;powiat;2019-01-01
04;02;01;1;Brodnica;gmina miejska;2019-01-01
04;02;02;2;Bobrowo;gmina wiejska;2019-01-01
04;02;03;2;Brodnica;gmina wiejska;2019-01-01
04;02;04;2;Brzozie;gmina wiejska;2019-01-01
04;02;05;4;Górzno;miasto;2019-01-01
04;02;05;5;Górzno;obszar wiejski;2019-01-01
04;02;06;2;Bartniczka;gmina wiejska;2019-01-01
04;02;07;4;Jabłonowo Pomorskie;miasto;2019-01-01
04;02;07;5;Jabłonowo Pomorskie;obszar wiejski;2019-01-01
04;02;08;2;Osiek;gmina wiejska;2019-01-01
04;02;09;2;Świedziebnia;gmina wiejska;2019-01-01
04;02;10;2;Zbiczno;gmina wiejska;2019-01-01
04;03;;;bydgoski;powiat;2019-01-01
04;03;01;2;Białe Błota;gmina wiejska;2019-01-01
04;03;02;2;Dąbrowa Chełmińska;gmina wiejska;2019-01-01
04;03;03;2;Dobrcz;gmina wiejska;2019-01-01
04;03;04;4;Koronowo;miasto;2019-01-01
04;03;04;5;Koronowo;obszar wiejski;2019-01-01
04;03;05;2;Nowa Wieś Wielka;gmina wiejska;2019-01-01
04;03;06;2;Osielsko;gmina wiejska;2019-01-01
04;03;07;2;Sicienko;gmina wiejska;2019-01-01
04;03;08;4;Solec Kujawski;miasto;2019-01-01
04;03;08;5;Solec Kujawski;obszar wiejski;2019-01-01
04;04;;;chełmiński;powiat;2019-01-01
04;04;01;1;Chełmno;gmina miejska;2019-01-01
04;04;02;2;Chełmno;gmina wiejska;2019-01-01
